163194	P324318	CUSAS 3 0457
163195	P324358	CUSAS 3 0458
163196	P324638	CUSAS 3 0462
163197	P324735	CUSAS 3 0467
163198	P324375	CUSAS 3 0475
163199	P324364	CUSAS 3 0518
163200	P324374	CUSAS 3 0530
163201	P324060	CUSAS 3 0532
163202	P324061	CUSAS 3 0538
163203	P322604	CUSAS 3 0544
163204	P323827	CUSAS 3 0546
163205	P323328	CUSAS 3 0547
163206	P324299	CUSAS 3 0820
163207	P323799	CUSAS 3 0385
163208	P323721	CUSAS 3 0381
163209	P324440	CUSAS 3 0383
163210	P323719	CUSAS 3 0396
163211	P324346	CUSAS 3 1020
163212	P323802	CUSAS 3 0377
163213	P324762	CUSAS 3 0986
163214	P324768	CUSAS 3 0987
163215	P322454	CUSAS 3 0988
163216	P324472	CUSAS 3 0989
163217	P324741	CUSAS 3 0990
163218	P323803	CUSAS 3 0993
163219	P322453	CUSAS 3 0994
163220	P324742	CUSAS 3 0995
163221	P323844	CUSAS 3 0997
